ID;Class;Order;Family;Genus;Species
B189;Aves;Charadriformes;Scolopacidae;Xenus;cinereus
B206;Aves;Charadriformes;Stercoraridae;Stercorarius;longicaudus
B205;Aves;Charadriformes;Stercoraridae;Stercorarius;parasiticus
B204;Aves;Charadriformes;Stercoraridae;Stercorarius;pomarinus
B203;Aves;Charadriformes;Stercoraridae;Stercorarius;skua
B30;Aves;Ciconiformes;Ardeidae;Ardea;cinerea
B31;Aves;Ciconiformes;Ardeidae;Ardea;purpurea
B34;Aves;Ciconiformes;Ardeidae;Ardeola;ralloides
B38;Aves;Ciconiformes;Ardeidae;Botaurus;stellaris
B35;Aves;Ciconiformes;Ardeidae;Bubulcus;ibis
B32;Aves;Ciconiformes;Ardeidae;Egretta;alba
B33;Aves;Ciconiformes;Ardeidae;Egretta;garzetta
B37;Aves;Ciconiformes;Ardeidae;Ixobrychus;minutus
B36;Aves;Ciconiformes;Ardeidae;Nycticorax;nycticorax
B40;Aves;Ciconiformes;Ciconiidae;Ciconia;ciconia
B39;Aves;Ciconiformes;Ciconiidae;Ciconia;nigra
B42;Aves;Ciconiformes;Threskiornithidae;Platalea;leucorodia
B41;Aves;Ciconiformes;Threskiornithidae;Plegadis;falcinellus
B508;Aves;Columbiformes;Columbidae;Columba;bollii
B509;Aves;Columbiformes;Columbidae;Columba;junoniae
B244;Aves;Columbiformes;Columbidae;Columba;livia
B245;Aves;Columbiformes;Columbidae;Columba;oenas
B246;Aves;Columbiformes;Columbidae;Columba;palumbus
B247;Aves;Columbiformes;Columbidae;Columba;trocaz
B249;Aves;Columbiformes;Columbidae;Streptopelia;decaocto
B250;Aves;Columbiformes;Columbidae;Streptopelia;senegalensis
B248;Aves;Columbiformes;Columbidae;Streptopelia;turtur
B242;Aves;Columbiformes;Pteroclididae;Pterocles;alchata
B243;Aves;Columbiformes;Pteroclididae;Pterocles;orientalis
B276;Aves;Coraciformes;Alcedinidae;Alcedo;atthis
B278;Aves;Coraciformes;Alcedinidae;Ceryle;rudis
B277;Aves;Coraciformes;Alcedinidae;Halcyon;smyrnensis
B281;Aves;Coraciformes;Coraciidae;Coracias;garrulus
B280;Aves;Coraciformes;Meropidae;Merops;apiaster
B279;Aves;Coraciformes;Meropidae;Merops;superciliosus
B282;Aves;Coraciformes;Upupidae;Upupa;epops
B251;Aves;Cuculiformes;Cuculidae;Clamator;glandarius
B252;Aves;Cuculiformes;Cuculidae;Cuculus;canorus
B253;Aves;Cuculiformes;Cuculidae;Cuculus;saturatus
B100;Aves;Falconiformes;Accipitridae;Accipiter;brevipes
B102;Aves;Falconiformes;Accipitridae;Accipiter;gentilis
B101;Aves;Falconiformes;Accipitridae;Accipiter;nisus
B94;Aves;Falconiformes;Accipitridae;Aegypius;monachus
B109;Aves;Falconiformes;Accipitridae;Aquila;adalberti
B111;Aves;Falconiformes;Accipitridae;Aquila;chrysaetos
B107;Aves;Falconiformes;Accipitridae;Aquila;clanga
B110;Aves;Falconiformes;Accipitridae;Aquila;heliaca
B108;Aves;Falconiformes;Accipitridae;Aquila;nipalensis
B106;Aves;Falconiformes;Accipitridae;Aquila;pomarina
B103;Aves;Falconiformes;Accipitridae;Buteo;buteo
B105;Aves;Falconiformes;Accipitridae;Buteo;lagopus
B104;Aves;Falconiformes;Accipitridae;Buteo;rufinus
B95;Aves;Falconiformes;Accipitridae;Circaetus;gallicus
B96;Aves;Falconiformes;Accipitridae;Circus;aeruginosus
B97;Aves;Falconiformes;Accipitridae;Circus;cyaneus
B98;Aves;Falconiformes;Accipitridae;Circus;macrourus
B99;Aves;Falconiformes;Accipitridae;Circus;pygargus
B87;Aves;Falconiformes;Accipitridae;Elanus;caeruleus
B91;Aves;Falconiformes;Accipitridae;Gypaetus;barbatus
B93;Aves;Falconiformes;Accipitridae;Gyps;fulvus
B90;Aves;Falconiformes;Accipitridae;Haliaeetus;albicilla
B112;Aves;Falconiformes;Accipitridae;Hieraaetus;fasciatus
B113;Aves;Falconiformes;Accipitridae;Hieraaetus;pennatus
B89;Aves;Falconiformes;Accipitridae;Milvus;migrans
B88;Aves;Falconiformes;Accipitridae;Milvus;milvus
B92;Aves;Falconiformes;Accipitridae;Neophron;percnopterus
B85;Aves;Falconiformes;Accipitridae;Pandion;haliaetus
B86;Aves;Falconiformes;Accipitridae;Pernis;apivorus
B120;Aves;Falconiformes;Falconidae;Falco;biarmicus
B121;Aves;Falconiformes;Falconidae;Falco;cherrug
B118;Aves;Falconiformes;Falconidae;Falco;columbarius
B117;Aves;Falconiformes;Falconidae;Falco;eleonorae
B114;Aves;Falconiformes;Falconidae;Falco;naumanni
B123;Aves;Falconiformes;Falconidae;Falco;peregrinus
B122;Aves;Falconiformes;Falconidae;Falco;rusticolus
B119;Aves;Falconiformes;Falconidae;Falco;subbuteo
B115;Aves;Falconiformes;Falconidae;Falco;tinnunculus
B116;Aves;Falconiformes;Falconidae;Falco;vespertinus
B134;Aves;Galliformes;Phasianidae;Alectoris;barbara
B133;Aves;Galliformes;Phasianidae;Alectoris;chukar
B132;Aves;Galliformes;Phasianidae;Alectoris;graeca
B135;Aves;Galliformes;Phasianidae;Alectoris;rufa
B136;Aves;Galliformes;Phasianidae;Ammoperdix;griseogularis
B129;Aves;Galliformes;Phasianidae;Bonasa;bonasia
B139;Aves;Galliformes;Phasianidae;Coturnix;coturnix
B137;Aves;Galliformes;Phasianidae;Francolinus;francolinus
B124;Aves;Galliformes;Phasianidae;Lagopus;lagopus
B125;Aves;Galliformes;Phasianidae;Lagopus;mutus
B138;Aves;Galliformes;Phasianidae;Perdix;perdix
B140;Aves;Galliformes;Phasianidae;Phasianus;colchicus
B128;Aves;Galliformes;Phasianidae;Tetrao;mlokosiewiczi
B127;Aves;Galliformes;Phasianidae;Tetrao;tetrix
B126;Aves;Galliformes;Phasianidae;Tetrao;urogallus
B131;Aves;Galliformes;Phasianidae;Tetraogallus;caspius
B130;Aves;Galliformes;Phasianidae;Tetraogallus;caucasicus
B154;Aves;Galliformes;Phasianidae;Tetrax;tetrax
B4;Aves;Gaviformes;Gaviidae;Gavia;adamsii
B2;Aves;Gaviformes;Gaviidae;Gavia;arctica
B3;Aves;Gaviformes;Gaviidae;Gavia;immer
B1;Aves;Gaviformes;Gaviidae;Gavia;stellata
B142;Aves;Gruiformes;Gruidae;Anthropoides;virgo
B143;Aves;Gruiformes;Gruidae;Grus;grus
B515;Aves;Gruiformes;Otididae;Chlamydotis;undulata
B153;Aves;Gruiformes;Otididae;Otis;tarda
B145;Aves;Gruiformes;Rallidae;Crex;crex
B152;Aves;Gruiformes;Rallidae;Fulica;atra
B151;Aves;Gruiformes;Rallidae;Fulica;cristata
B150;Aves;Gruiformes;Rallidae;Gallinula;chloropus
B149;Aves;Gruiformes;Rallidae;Porphyrio;porphyrio
B146;Aves;Gruiformes;Rallidae;Porzana;parva
B148;Aves;Gruiformes;Rallidae;Porzana;porzana
B147;Aves;Gruiformes;Rallidae;Porzana;pusilla
B144;Aves;Gruiformes;Rallidae;Rallus;aquaticus
B141;Aves;Gruiformes;Turnicidae;Turnix;sylvatica
B413;Aves;Passeriformes;Aegithalidae;Aegithalos;caudatus
B303;Aves;Passeriformes;Alaudidae;Alauda;arvensis
B293;Aves;Passeriformes;Alaudidae;Ammomanes;deserti
B297;Aves;Passeriformes;Alaudidae;Calandrella;brachydactyla
B299;Aves;Passeriformes;Alaudidae;Calandrella;cheleensis
B298;Aves;Passeriformes;Alaudidae;Calandrella;rufescens
B300;Aves;Passeriformes;Alaudidae;Chersophilus;duponti
B304;Aves;Passeriformes;Alaudidae;Eremophila;alpestris
B301;Aves;Passeriformes;Alaudidae;Galerida;cristata
B507;Aves;Passeriformes;Alaudidae;Galerida;theklae
B302;Aves;Passeriformes;Alaudidae;Lullula;arborea
B295;Aves;Passeriformes;Alaudidae;Melanocorypha;bimaculata
B294;Aves;Passeriformes;Alaudidae;Melanocorypha;calandra
B296;Aves;Passeriformes;Alaudidae;Melanocorypha;leucoptera
B325;Aves;Passeriformes;Bombycillidae;Bombycilla;garrulus
B430;Aves;Passeriformes;Certhidae;Certhia;brachydactyla
B429;Aves;Passeriformes;Certhidae;Certhia;familiaris
B326;Aves;Passeriformes;Cinclidae;Cinclus;cinclus
B343;Aves;Passeriformes;Cisticolidae;Cisticola;juncidis
B344;Aves;Passeriformes;Cisticolidae;Prinia;gracilis
B449;Aves;Passeriformes;Corvidae;Corvus;corax
B448;Aves;Passeriformes;Corvidae;Corvus;corone
B447;Aves;Passeriformes;Corvidae;Corvus;frugilegus
B446;Aves;Passeriformes;Corvidae;Corvus;monedula
B441;Aves;Passeriformes;Corvidae;Cyanopica;cyana (cyanus)
B440;Aves;Passeriformes;Corvidae;Garrulus;glandarius
B443;Aves;Passeriformes;Corvidae;Nucifraga;caryocatactes
B439;Aves;Passeriformes;Corvidae;Perisoreus;infaustus
B442;Aves;Passeriformes;Corvidae;Pica;pica
B445;Aves;Passeriformes;Corvidae;Pyrrhocorax;graculus
B444;Aves;Passeriformes;Corvidae;Pyrrhocorax;pyrrhocorax
B469;Aves;Passeriformes;Emberizidae;Calcarius;lapponicus
B463;Aves;Passeriformes;Emberizidae;Emberiza;aureola
B465;Aves;Passeriformes;Emberizidae;Emberiza;bruniceps
B457;Aves;Passeriformes;Emberizidae;Emberiza;buchanani
B460;Aves;Passeriformes;Emberizidae;Emberiza;caesia
B456;Aves;Passeriformes;Emberizidae;Emberiza;cia
B458;Aves;Passeriformes;Emberizidae;Emberiza;cineracea
B455;Aves;Passeriformes;Emberizidae;Emberiza;cirlus
B453;Aves;Passeriformes;Emberizidae;Emberiza;citrinella
B459;Aves;Passeriformes;Emberizidae;Emberiza;hortulana
B454;Aves;Passeriformes;Emberizidae;Emberiza;leucocephalos
B464;Aves;Passeriformes;Emberizidae;Emberiza;melanocephala
B466;Aves;Passeriformes;Emberizidae;Emberiza;pallasi
B461;Aves;Passeriformes;Emberizidae;Emberiza;pusilla
B462;Aves;Passeriformes;Emberizidae;Emberiza;rustica
B467;Aves;Passeriformes;Emberizidae;Emberiza;schoeniclus
B468;Aves;Passeriformes;Emberizidae;Miliaria;calandra
B470;Aves;Passeriformes;Emberizidae;Plectrophenax;nivalis
B495;Aves;Passeriformes;Fringillidae;Bucanetes;githagineus
B496;Aves;Passeriformes;Fringillidae;Bucanetes;mongolicus
B486;Aves;Passeriformes;Fringillidae;Carduelis;cannabina
B484;Aves;Passeriformes;Fringillidae;Carduelis;carduelis
B480;Aves;Passeriformes;Fringillidae;Carduelis;chloris
B481;Aves;Passeriformes;Fringillidae;Carduelis;flammea
B485;Aves;Passeriformes;Fringillidae;Carduelis;flavirostris
B482;Aves;Passeriformes;Fringillidae;Carduelis;hornemanni
B483;Aves;Passeriformes;Fringillidae;Carduelis;spinus
B474;Aves;Passeriformes;Fringillidae;Carpodacus;erythrinus
B475;Aves;Passeriformes;Fringillidae;Carpodacus;rubicilla
B493;Aves;Passeriformes;Fringillidae;Coccothraustes;coccothraustes
B471;Aves;Passeriformes;Fringillidae;Fringilla;coelebs
B472;Aves;Passeriformes;Fringillidae;Fringilla;montifringilla
B510;Aves;Passeriformes;Fringillidae;Fringilla;teydea
B478;Aves;Passeriformes;Fringillidae;Loxia;curvirostra
B479;Aves;Passeriformes;Fringillidae;Loxia;leucoptera
B476;Aves;Passeriformes;Fringillidae;Loxia;pytyopsittacus
B477;Aves;Passeriformes;Fringillidae;Loxia;scotica
B473;Aves;Passeriformes;Fringillidae;Pinicola;enucleator
B492;Aves;Passeriformes;Fringillidae;Pyrrhula;murina
B491;Aves;Passeriformes;Fringillidae;Pyrrhula;pyrrhula
B494;Aves;Passeriformes;Fringillidae;Rhodopechys;sanguinea
B497;Aves;Passeriformes;Fringillidae;Rhodospiza;obsoleta
B489;Aves;Passeriformes;Fringillidae;Serinus;canaria
B490;Aves;Passeriformes;Fringillidae;Serinus;citrinella
B487;Aves;Passeriformes;Fringillidae;Serinus;pusillus
B488;Aves;Passeriformes;Fringillidae;Serinus;serinus
B309;Aves;Passeriformes;Hirundinidae;Delichon;urbica
B308;Aves;Passeriformes;Hirundinidae;Hirundo;daurica
B307;Aves;Passeriformes;Hirundinidae;Hirundo;rustica
B306;Aves;Passeriformes;Hirundinidae;Ptyonoprogne;rupestris
B305;Aves;Passeriformes;Hirundinidae;Riparia;riparia
B433;Aves;Passeriformes;Lanidae;Lanius;collurio
B434;Aves;Passeriformes;Lanidae;Lanius;excubitor
B435;Aves;Passeriformes;Lanidae;Lanius;meridionalis
B436;Aves;Passeriformes;Lanidae;Lanius;minor
B437;Aves;Passeriformes;Lanidae;Lanius;nubicus
B438;Aves;Passeriformes;Lanidae;Lanius;senator
B315;Aves;Passeriformes;Motacillidae;Anthus;berthelotii
B314;Aves;Passeriformes;Motacillidae;Anthus;campestris
B319;Aves;Passeriformes;Motacillidae;Anthus;cervinus
B317;Aves;Passeriformes;Motacillidae;Anthus;hodgsoni
B320;Aves;Passeriformes;Motacillidae;Anthus;petrosus
B318;Aves;Passeriformes;Motacillidae;Anthus;pratensis
B321;Aves;Passeriformes;Motacillidae;Anthus;spinoletta
B316;Aves;Passeriformes;Motacillidae;Anthus;trivialis
